bond_environment,occurrence_count,molecule_count,example_path,example_atom1_index,example_atom2_index
Z15_X4_q0_a0-Z8_X2_q0_a0,1405,517,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/6.npz,6,8
Z15_X4_q0_a0=Z8_X1_q0_a0,724,533,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/6.npz,5,8
Z15_X4_q0_a0-Z8_X1_q-1_a0,337,170,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/rna-diverse/14.npz,59,60
Z15_X4_q0_a0-Z6_X4_q0_a0,276,191,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2-torsion/441.npz,0,4
Z15_X4_q0_a0-Z7_X3_q0_a0,229,129,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/536.npz,14,17
Z15_X4_q0_a0=Z16_X1_q0_a0,106,97,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10087.npz,0,25
Z15_X3_q0_a0-Z8_X2_q0_a0,92,38,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10769.npz,0,6
Z15_X4_q0_a0-Z16_X2_q0_a0,89,70,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2-torsion/39-614-38-218-565.npz,8,9
Z15_X4_q0_a0-Z6_X3_q0_a1,67,49,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10087.npz,22,25
Z15_X3_q0_a0-Z6_X4_q0_a0,58,31,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/164.npz,3,5
Z15_X4_q0_a0-Z6_X3_q0_a0,49,42,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10331.npz,7,28
Z15_X3_q0_a0-Z7_X3_q0_a0,49,26,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2431.npz,13,16
Z15_X3_q0_a0-Z16_X2_q0_a0,28,11,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2637.npz,0,3
Z15_X4_q0_a0-Z17_X1_q0_a0,27,15,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2380.npz,1,4
Z15_X3_q0_a0-Z6_X3_q0_a1,22,14,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10624.npz,14,17
Z15_X3_q0_a0-Z9_X1_q0_a0,22,7,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/3879.npz,0,5
