atom_environment,occurrence_count,molecule_count,example_path,example_atom_index,example_atom_map
Z15_X4_q0_a0,837,632,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/536.npz,17,
Z8_X1_q0_a0,728,537,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/6.npz,5,
Z8_X1_q-1_a0,345,175,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/rna-diverse/14.npz,30,
Z15_X3_q0_a0,112,96,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/687.npz,0,
Z16_X1_q0_a0,106,97,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10087.npz,0,
Z17_X1_q0_a0,42,26,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2380.npz,1,
Z8_X2_q0_a0,39,23,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-des-monomers/252.npz,6,
Z1_X1_q0_a0,32,27,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2-torsion/441.npz,10,
Z9_X1_q0_a0,31,15,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/13244.npz,2,
Z15_X4_q1_a0,13,12,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/11626.npz,8,
Z16_X2_q0_a0,13,3,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2332.npz,4,
Z35_X1_q0_a0,12,6,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/687.npz,1,
Z6_X3_q1_a0,8,8,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10086.npz,8,
Z15_X2_q0_a0,5,5,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/4031.npz,2,
Z7_X3_q0_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/4137.npz,6,
