parameter_index,smirks,original_value,covered_molecule_count,nonzero_atom_count
0,[#6X4:1]-[#16X1-1:2],0.0833,51,104
1,"[#6X1,#6X2:1]-[#16X1-1:2]",0.3281,1,2
2,[#6X3$(*=[#6]):1]-[#16X1-1:2],0.1879,2,4
3,"[#6X3$(*=[#7,#15]):1]-[#16X1-1:2]",0.1969,0,0
4,"[#6X3:1](~[#8X1,#16X1])(~[#16X1:2])",0.1713,5,16
5,"[#6a$(*~[#7aX2,#8aX2]):1]-[#16X1-1:2]",0.3476,0,0
6,[#6a:1]-[#16X1-1:2],0.2541,0,0
7,"[$([#7X3](-[#8X1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]~[#8X1:2]",-0.15,496,1722
8,[#7X3+1:1]-[#8X1-1:2],0.1317,166,361
9,[#7X3$(*-[#6X3$(*=[#8])]):1]-[#8X1-1:2],0.0465,0,0
10,[#7X4+1:1]-[#8X1-1:2],-0.1168,53,110
11,"[#7X1,#7X2+1:1]-[#8X1-1:2]",-0.0543,5,12
12,[#7X2+0:1]-[#8X1-1:2],-0.0817,0,0
13,[#6X4:1]-[#8X1-1:2],0.1615,5,10
14,"[#6X1,#6X2:1]-[#8X1-1:2]",0.2549,1,2
15,[#6X3$(*=[#6]):1]-[#8X1-1:2],0.1844,39,82
16,"[#6X3$(*=[#7,#15]):1]-[#8X1-1:2]",0.3046,4,8
17,"[#6X3:1](~[#8X1,#16X1])(~[#8X1:2])",0.2653,279,894
18,"[#6a$(*~[#7aX2,#8aX2]):1]-[#8X1-1:2]",0.337,0,0
19,[#6a:1]-[#8X1-1:2],0.2797,0,0
20,[#6X4:1]-[#6X4:2],0.0,12398,56191
21,"[#6X4:1]-[#6X1,#6X2:2]",-0.0269,694,1698
22,[#6X4:1]-[#6X3$(*=[#6]):2],0.0024,8989,31283
23,"[#6X4:1]-[#6X3$(*=[#7,#15]):2]",-0.0753,2756,6386
24,"[#6X4:1]-[#6X3$(*=[#8,#16]):2]",-0.05,5691,22009
25,"[#6X4:1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.0943,0,0
26,[#6X4:1]-[#6a:2],0.0073,0,0
27,"[#6X4:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0193,1561,3443
28,"[#6X4:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0374,4839,18124
29,"[#6X4:1]-[#7X4,#7X3,#7X2-1:2]",0.1582,5602,19261
30,"[#6X4:1]-[#7X1,#7X2+1:2]",0.1825,19,38
31,"[#6X4:1]-[#7X2+0,#7X2-1ar5:2]",0.1252,803,1753
32,"[#6X4:1]-[#8X1,#8X2:2]",0.0718,6411,21670
33,[#6X4:1]-[#16X4:2],0.4608,743,1747
34,[#6X4:1]-[#16X3:2],0.4263,136,325
35,"[#6X4:1]-[#16X1,#16X2:2]",0.1821,1985,5268
36,[#6X4:1]-[#14X4:2],0.154,0,0
37,[#6X4:1]-[#9:2],0.0713,1404,6850
38,[#6X4:1]-[#17:2],0.0734,450,1662
39,[#6X4:1]-[#35:2],0.1274,155,495
40,[#6X4:1]-[#53:2],0.3009,0,0
41,[#6X4:1]-[#1:2],0.0393,15241,256815
42,"[#6X1,#6X2:1]-[#6X1,#6X2:2]",0.0,26,60
43,"[#6X1,#6X2:1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.107,144,294
44,"[#6X1,#6X2:1]-[#6a:2]",0.004,541,1206
45,"[#6X1,#6X2:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0543,0,0
46,"[#6X1,#6X2:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0062,5,10
47,"[#6X1,#6X2:1]-[#7X4,#7X3,#7X2-1:2]",0.0558,62,124
48,"[#6X1,#6X2:1]-[#7X1,#7X2+1:2]",0.0798,1,2
49,"[#6X1,#6X2:1]-[#7X2+0,#7X2-1ar5:2]",0.052,23,48
