parameter_index,smirks,template_value,fitted_value,trained,molecule_count,nonzero_atom_count
0,[#6X4:1]-[#16X1-1:2],0.0833,-0.0862596366532623,True,43,88
1,"[#6X1,#6X2:1]-[#16X1-1:2]",0.3281,-0.3086060424832995,True,1,2
2,[#6X3$(*=[#6]):1]-[#16X1-1:2],0.1879,-0.6386525021740219,True,2,4
3,"[#6X3$(*=[#7,#15]):1]-[#16X1-1:2]",0.1969,0.0,False,0,0
4,"[#6X3:1](~[#8X1,#16X1])(~[#16X1:2])",0.1713,0.08427306618512459,True,3,10
5,"[#6a$(*~[#7aX2,#8aX2]):1]-[#16X1-1:2]",0.3476,0.0,False,0,0
6,[#6a:1]-[#16X1-1:2],0.2541,0.0,False,0,0
7,"[$([#7X3](-[#8X1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]~[#8X1:2]",-0.15,-0.2493910915745932,True,404,1407
8,[#7X3+1:1]-[#8X1-1:2],0.1317,-0.762036979802219,True,143,313
9,[#7X3$(*-[#6X3$(*=[#8])]):1]-[#8X1-1:2],0.0465,0.0,False,0,0
10,[#7X4+1:1]-[#8X1-1:2],-0.1168,-0.47777893876807714,True,45,94
11,"[#7X1,#7X2+1:1]-[#8X1-1:2]",-0.0543,-0.7648707559359587,True,4,10
12,[#7X2+0:1]-[#8X1-1:2],-0.0817,0.0,False,0,0
13,[#6X4:1]-[#8X1-1:2],0.1615,-0.4847550528683894,True,5,10
14,"[#6X1,#6X2:1]-[#8X1-1:2]",0.2549,-0.5102347880996615,True,1,2
15,[#6X3$(*=[#6]):1]-[#8X1-1:2],0.1844,-1.0756994417076406,True,33,70
16,"[#6X3$(*=[#7,#15]):1]-[#8X1-1:2]",0.3046,-0.6716063882725666,True,4,8
17,"[#6X3:1](~[#8X1,#16X1])(~[#8X1:2])",0.2653,-0.004281836070378686,True,219,708
18,"[#6a$(*~[#7aX2,#8aX2]):1]-[#8X1-1:2]",0.337,0.0,False,0,0
19,[#6a:1]-[#8X1-1:2],0.2797,0.0,False,0,0
20,[#6X4:1]-[#6X4:2],0.0,0.010823299240843107,True,9826,44641
21,"[#6X4:1]-[#6X1,#6X2:2]",-0.0269,0.167025776043491,True,564,1373
22,[#6X4:1]-[#6X3$(*=[#6]):2],0.0024,0.07501053882831088,True,7123,24746
23,"[#6X4:1]-[#6X3$(*=[#7,#15]):2]",-0.0753,0.07808772472105016,True,2202,5105
24,"[#6X4:1]-[#6X3$(*=[#8,#16]):2]",-0.05,0.07251407914527044,True,4469,17455
25,"[#6X4:1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.0943,0.0,False,0,0
26,[#6X4:1]-[#6a:2],0.0073,0.0,False,0,0
27,"[#6X4:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0193,0.31650184696709527,True,1225,2681
28,"[#6X4:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0374,0.19523325823680865,True,3835,14413
29,"[#6X4:1]-[#7X4,#7X3,#7X2-1:2]",0.1582,0.25075224645191196,True,4450,15395
30,"[#6X4:1]-[#7X1,#7X2+1:2]",0.1825,-0.05970342426655889,True,14,28
31,"[#6X4:1]-[#7X2+0,#7X2-1ar5:2]",0.1252,0.18706450039080738,True,632,1382
32,"[#6X4:1]-[#8X1,#8X2:2]",0.0718,0.21848751501533725,True,5057,17186
33,[#6X4:1]-[#16X4:2],0.4608,0.048440874958970856,True,596,1396
34,[#6X4:1]-[#16X3:2],0.4263,0.14569430704949593,True,111,263
35,"[#6X4:1]-[#16X1,#16X2:2]",0.1821,0.164508859430967,True,1603,4250
36,[#6X4:1]-[#14X4:2],0.154,0.0,False,0,0
37,[#6X4:1]-[#9:2],0.0713,0.30945607355095084,True,1114,5442
38,[#6X4:1]-[#17:2],0.0734,0.18416618603365914,True,363,1338
39,[#6X4:1]-[#35:2],0.1274,0.15970490558271752,True,119,379
40,[#6X4:1]-[#53:2],0.3009,0.0,False,0,0
41,[#6X4:1]-[#1:2],0.0393,-0.06749578108709259,True,12092,204029
42,"[#6X1,#6X2:1]-[#6X1,#6X2:2]",0.0,-0.034722496382141504,True,20,44
43,"[#6X1,#6X2:1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.107,-0.17793347524775838,True,114,230
44,"[#6X1,#6X2:1]-[#6a:2]",0.004,-0.18799355285451225,True,435,964
45,"[#6X1,#6X2:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0543,0.0,False,0,0
46,"[#6X1,#6X2:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0062,-0.10864032058851639,True,4,8
47,"[#6X1,#6X2:1]-[#7X4,#7X3,#7X2-1:2]",0.0558,-0.16657121545439912,True,52,104
48,"[#6X1,#6X2:1]-[#7X1,#7X2+1:2]",0.0798,-0.6557156296046774,True,1,2
49,"[#6X1,#6X2:1]-[#7X2+0,#7X2-1ar5:2]",0.052,-0.18418104474424493,True,19,40
50,"[#6X1,#6X2:1]-[#8X1,#8X2:2]",0.0286,-0.058761096428775805,True,7,18
51,"[#6X1,#6X2:1]-[#16X4:2]",0.4018,-0.03402125798438498,True,2,4
52,"[#6X1,#6X2:1]-[#16X3:2]",0.4586,0.06178480391024451,True,1,2
53,"[#6X1,#6X2:1]-[#16X1,#16X2:2]",0.2251,-0.13115598808086323,True,11,28
54,"[#6X1,#6X2:1]-[#14X4:2]",0.2343,0.0,False,0,0
55,"[#6X1,#6X2:1]-[#9:2]",0.0021,-0.01640307030716782,True,2,6
56,"[#6X1,#6X2:1]-[#17:2]",0.0899,-0.09747325476364965,True,5,12
57,"[#6X1,#6X2:1]-[#35:2]",0.2338,-0.006474360462159991,True,8,16
58,"[#6X1,#6X2:1]-[#53:2]",0.2886,0.0,False,0,0
59,"[#6X1,#6X2:1]-[#1:2]",0.0575,-0.23715185093751967,True,147,300
